sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="0606",="30","Metalúrgica da Seixa Almeida Costa & Correia, Lda.","2022","2794,63","0","31,4","0","0","157","2043,43","334","81,8","123","24","0","0"
="0668",="06","ATREL REPARADORA AGRO TECNICA LDA","2022","314,68","0","0","0","0","0","0","0","0","314,68","0","0","0"
="0728",="30","Ribeiro & Rocha, Lda.","2022","436,1","0","0","199","0","0","0","0","0","166,6","51","0","19,5"
="0755",="08","Santos Barosa Vidros, SA.","2022","157,3","0","0","0","0","0","0","0","0","157,3","0","0","0"
="0801",="12","Augusto Fernandes Oliveira","2022","715,8","0","0","572,6","0","0","143,2","0","0","0","0","0","0"
="0826",="06","Sonafi Sociedade Nac. Fundição Injectada, SA.","2022","98,94","0","0","0","0","0","0","0","0","0","0","98,94","0"
="1009",="06","Flamingo Indústria Ourivesaria, SA.","2022","1056,98","122,2","249,6","0","0","0","442,03","147,55","29,8","25,3","259,1","-259,1","40,5"
="1152",="08","Ivo-Cutelarias, S.A","2022","897,15","0","0","0","0","18,15","0","0","0","0","280","337,5","261,5"
="0036",="12","CVB CONCEITO METÁLICO LDA","2022","2442,27","294,29","229","176,8","51,64","674,9","78","33,08","0","155,02","365,3","243","141,24"
="0058",="12","Aluport Matrizes de Portugal, Lda.","2022","10763,67","243,13","232,8","177,03","7","0","0","232,37","28,12","2461,79","0","4257,02","3124,41"
="0112",="30","Arsopi Indústria Metal. Arlindo Soares Pinho, SA.","2022","18623,15","786,7","10673,4","1662,55","660,8","837,9","1114,2","667,9","0","368,7","1094,8","294","462,2"
="0116",="06","Metalúrgica Metauto, Lda.","2022","1487,75","449,06","259,93","146","101,76","208,8","0","0","0","208,8","0","113,4","0"
="0141",="06","José Maria Ramalho Silva, Lda.","2022","939,04","0","0","141,6","0","211,91","50,8","42,7","0","269,24","0","0","222,79"
="0157",="30","Gewiss Portugal Ind. Mat. Eléctrico, Unip., Lda.","2022","102,6","0","0","0","102,6","0","0","0","0","0","0","0","0"
="0308",="05","Browning Viana Fábrica Armas Artigos Desporto.SA","2022","23567,62","3586,96","839,36","1072","1192,8","2233,6","193","1648,9","2221,6","1276,6","3707,6","1958,6","3636,6"
="0370",="30","Olesa Indústria de Moldes, SA.","2022","603,6","55,9","55,9","0","0","0","243,4","177,9","0","0","-107,4","177,9","0"
